SMILES,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,EState_VSA2,HeavyAtomCount,Kappa1,Kappa2,Kappa3,LabuteASA,MolLogP,PEOE_VSA14,Predcited_Energy,DFT_Energy
[Bi]=[Se].[Bi]=[Se].[Se],0,6.855,4,2.119,14.213,2,0.365,16.649,0,0,17.069,5,15.753,26.507,18.788,82.013,-1.904,66.905,10.5251,10.42523731
[Cd+2].[Cd+2].[Se-2].[S-2],0,6,0,2.231,12.833,0,0,0,0,0,85.162,4,29.763,17.239,8.828,83.722,-0.388,54.598,8.5089,8.609194214
[Cs+].[Cs+].[Se-2],0,2.755,0,2.408,16.682,0,0,0,0,0,154.856,3,15.645,9.798,6.623,148.574,-6.373,137.788,9.8552,16.08378644
[Th](=[Se])=[Se],3.266,23.774,2.707,1.316,8.852,1.414,0.408,19.558,0.083,20.744,28.379,3,5.364,4.364,4.364,44.363,-0.762,45.695,10.8459,10.81529664
[W](=[Se])=[Se],3.266,23.774,2.707,1.225,7.584,1.414,0.333,14.177,0.068,15.037,13.27,3,4.727,3.727,3.727,38.647,-0.764,38.902,10.1755,10.07538831
[Dy+3].[Dy+3].[Se-2].[Se-2].[Se-2],0,4.855,0,1.857,11.054,0,0,0,0,0,127.553,5,35.5,24.283,17.927,124.206,-1.142,76.347,7.2408,7.216417689
[Ho+3].[Ho+3].[Se-2].[Se-2].[Se-2],0,4.855,0,1.828,10.836,0,0,0,0,0,126.683,5,35.621,24.335,17.945,123.387,-1.142,75.476,7.1202,7.111846144
[SbH6+3].[SbH6+3].[Se-2].[Se-2].[Se-2],0,4.855,0,1.225,6.364,0,0,0,0,0,100.062,5,41.561,27.051,19.023,98.296,-5.116,48.856,4.643,4.542961569
[se]1n2[se]n3[se]n2[se]n13,3.191,293.813,5.138,3.422,10.274,3.933,1.861,7.989,1.278,13.141,0,8,4.998,1.469,0.449,69.289,-2.819,69.872,67.1289,67.02886754
[Sn](c1ccccc1)(c1ccccc1)c1ccccc1.[Sn](c1ccccc1)(c1ccccc1)c1ccccc1.[Se],0,1172.637,25.832,21.729,29.15,18.899,12.964,21.526,8.946,23.114,17.069,39,29.42,15.884,8.217,257.281,4.025,242.986,265.5436,265.4436091
[Gd+3].[Gd+3].[Se-2].[Se-2].[Se-2],0,4.855,0,1.932,11.608,0,0,0,0,0,131.087,5,35.035,24.084,17.865,127.526,-1.142,79.881,7.5478,7.583257521
[Y+3].[Y+3].[Se-2].[Se-2].[Se-2],0,4.855,0,2.379,13.195,0,0,0,0,0,116.624,5,37.275,25.066,18.205,113.923,-1.147,65.418,8.5201,8.278131616
[Se-2].[Se-2].[Na+].[Na+].[Na+].[Na+].O.O.O.O.O.O.O.O.O,0,20.074,0,9.316,20.743,0,0,0,0,0,201.652,15,313.624,266.666,237.351,197.54,-20.168,118.229,18.1127,18.21242669
[Se](CCN1CCOCC1)CCN1CCOCC1,1.424,174.945,11.761,10.604,12.318,8.449,6.629,9.052,4.52,7.09,0,17,13.783,8.459,5.685,110.769,0.192,110.565,49.0603,49.16055153
[La+3].[La+3].[Se-2].[Se-2].[Se-2],0,4.855,0,2.379,14.77,0,0,0,0,0,122.404,5,36.265,24.616,18.04,119.363,-1.142,71.198,9.3076,9.207606415
[Se]=P(c1ccc(C)cc1)(c1ccc(C)cc1)c1ccc(C)cc1,2.24,726.17,16.449,13.784,16.391,10.997,7.817,11.823,6.116,12.331,0,23,16.467,6.616,3.285,146.352,3.989,146.778,164.1018,164.1763041
[Se](CCCCCCCCCCCC)CCCCCCCCCCCC,2.939,192.141,18.263,17.965,19.678,12.414,11.992,14.414,7.976,10.546,0,25,25.519,24.519,24.519,167.413,9.369,167.859,61.226,61.32609728
[In+3].[In+3].[Se-2].[Se-2].[Se-2],0,4.855,0,2.379,14.11,0,0,0,0,0,102.893,5,40.627,26.611,18.832,100.972,-1.904,51.687,8.9776,8.709777561
[Se-2].[Na+].[Na+].O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O,0,14.711,0,10.408,16.121,0,0,0,0,0,163.802,19,2335.899,2005.901,1799.033,162.483,-19.568,59.115,15.1659,15.26577693
Brc1ccc(N2CP(=[Se])(c3ccccc3)CN(c3ccc(Br)cc3)C2)cc1,1.731,904.236,18.855,14.633,20.412,13.033,8.682,14.644,6.682,15.773,0,27,19.484,8.268,4.439,184.601,5.837,185.994,202.736,202.8359541
[U](=[Se])=[Se],3.266,23.774,2.707,1.316,8.906,1.414,0.408,19.786,0.083,20.987,21.187,3,5.091,4.091,4.091,41.651,-0.762,42.462,10.8729,10.97301664
